epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9066,1.33758,0.93525,1.21476,0.9235,0.91212,0.95378,0.62248,1.20085,0.6876,1.14684,0.0033208,0.0033208,0.0033208
2,127.672,1.08453,0.62217,1.05609,0.92298,0.90657,0.94866,0.64259,1.14562,0.82081,1.16226,0.00661022,0.00661022,0.00661022
3,190.026,1.09131,0.64898,1.07002,0.91596,0.91725,0.94598,0.62497,1.09812,0.68843,1.15174,0.00985563,0.00985563,0.00985563
4,252.148,1.06849,0.61559,1.07012,0.90479,0.90705,0.94649,0.64941,1.10129,0.62329,1.16981,0.009802,0.009802,0.009802
5,315.182,1.01139,0.58462,1.05797,0.92511,0.90495,0.95872,0.6681,1.13389,0.61304,1.1912,0.009736,0.009736,0.009736
6,380.049,0.99765,0.56775,1.05298,0.92544,0.90382,0.96438,0.6748,1.07833,0.57585,1.17148,0.00967,0.00967,0.00967
7,443.308,0.97192,0.55506,1.04658,0.90985,0.91054,0.95558,0.67878,1.05842,0.58901,1.14232,0.009604,0.009604,0.009604
8,506.42,0.95252,0.54217,1.0387,0.91765,0.91232,0.96079,0.67781,1.05576,0.55882,1.16003,0.009538,0.009538,0.009538
9,569.222,0.93648,0.52697,1.03338,0.92235,0.91024,0.9642,0.68787,1.0527,0.56963,1.15978,0.009472,0.009472,0.009472
10,633.237,0.92393,0.51693,1.02838,0.9248,0.91238,0.96892,0.69494,1.03641,0.51192,1.15211,0.009406,0.009406,0.009406
11,696.625,0.91082,0.51394,1.02224,0.91498,0.91064,0.96477,0.69154,1.02808,0.53383,1.15057,0.00934,0.00934,0.00934
12,759.903,0.90692,0.50864,1.02582,0.92572,0.90792,0.96861,0.6895,1.04089,0.52964,1.14362,0.009274,0.009274,0.009274
13,822.363,0.89886,0.50079,1.02248,0.91029,0.9144,0.96135,0.69082,1.01229,0.54272,1.12727,0.009208,0.009208,0.009208
14,884.994,0.88505,0.49765,1.01808,0.91522,0.90564,0.9601,0.68448,1.02552,0.55115,1.13766,0.009142,0.009142,0.009142
15,947.472,0.88154,0.49388,1.01717,0.91971,0.9117,0.96615,0.69414,1.02338,0.52862,1.14113,0.009076,0.009076,0.009076
16,1009.71,0.88034,0.49735,1.01695,0.92037,0.91165,0.96483,0.69394,1.00388,0.52971,1.11836,0.00901,0.00901,0.00901
17,1072.38,0.86518,0.48591,1.01093,0.91859,0.9097,0.95932,0.69124,1.02239,0.54046,1.14796,0.008944,0.008944,0.008944
18,1134.48,0.85949,0.48518,1.00577,0.92298,0.90468,0.96294,0.69605,1.01785,0.52861,1.14434,0.008878,0.008878,0.008878
19,1196.99,0.85338,0.4733,1.00467,0.91938,0.90253,0.9662,0.69843,1.02225,0.5138,1.13847,0.008812,0.008812,0.008812
20,1259.41,0.84775,0.47894,1.00481,0.92062,0.90792,0.96901,0.71102,0.99378,0.49726,1.139,0.008746,0.008746,0.008746
21,1321.97,0.84586,0.47952,1.00156,0.91995,0.90626,0.96578,0.70315,1.01853,0.50497,1.13821,0.00868,0.00868,0.00868
22,1384.54,0.83837,0.47067,0.9978,0.87055,0.96412,0.96619,0.69915,1.01477,0.49511,1.1463,0.008614,0.008614,0.008614
23,1446.82,0.83168,0.46996,0.9981,0.92106,0.90804,0.96796,0.70433,1.00655,0.50149,1.12709,0.008548,0.008548,0.008548
24,1509.23,0.82844,0.46771,0.99434,0.91978,0.90698,0.96414,0.69697,0.99915,0.52136,1.12355,0.008482,0.008482,0.008482
25,1571.76,0.82528,0.46834,0.99476,0.92135,0.90865,0.96123,0.69294,1.02137,0.51765,1.15117,0.008416,0.008416,0.008416
26,1634.02,0.82308,0.45945,0.99269,0.89217,0.94717,0.97019,0.7014,1.00604,0.49793,1.1226,0.00835,0.00835,0.00835
27,1696.3,0.82125,0.46203,0.99048,0.91977,0.9094,0.96748,0.69644,1.02279,0.5167,1.13705,0.008284,0.008284,0.008284
28,1759.09,0.81387,0.45866,0.98925,0.91709,0.90735,0.96567,0.70602,0.99224,0.5236,1.11478,0.008218,0.008218,0.008218
29,1821.25,0.80891,0.45923,0.98634,0.91335,0.90609,0.96367,0.70311,0.99124,0.50996,1.12344,0.008152,0.008152,0.008152
30,1883.76,0.80678,0.46031,0.98458,0.88218,0.97045,0.968,0.70382,1.00953,0.4929,1.12236,0.008086,0.008086,0.008086
31,1946.17,0.80115,0.44934,0.98439,0.91082,0.91227,0.96395,0.7041,0.9924,0.51024,1.13242,0.00802,0.00802,0.00802
32,2008.65,0.7958,0.44792,0.98186,0.88291,0.95744,0.9665,0.70184,1.00338,0.50123,1.14711,0.007954,0.007954,0.007954
33,2070.87,0.80015,0.454,0.98599,0.8831,0.9526,0.96576,0.70322,1.00891,0.49685,1.13375,0.007888,0.007888,0.007888
34,2133.42,0.79609,0.45077,0.98326,0.91849,0.91243,0.96782,0.70517,0.98392,0.50398,1.11947,0.007822,0.007822,0.007822
35,2195.97,0.78524,0.442,0.97885,0.91732,0.90999,0.96658,0.69943,0.99645,0.50268,1.13747,0.007756,0.007756,0.007756
36,2258.35,0.78425,0.44569,0.97973,0.8779,0.9596,0.96456,0.7043,1.01567,0.48196,1.14819,0.00769,0.00769,0.00769
37,2320.74,0.78034,0.44261,0.97744,0.89106,0.95,0.9657,0.70049,1.00504,0.51081,1.15381,0.007624,0.007624,0.007624
38,2383.05,0.77742,0.44451,0.97481,0.88375,0.95147,0.96807,0.70339,1.01128,0.50755,1.15178,0.007558,0.007558,0.007558
39,2445.52,0.77491,0.43671,0.97347,0.9119,0.90937,0.96456,0.69891,0.99638,0.5139,1.12415,0.007492,0.007492,0.007492
40,2507.91,0.77332,0.44211,0.97412,0.88653,0.96246,0.96625,0.70205,1.01023,0.48989,1.15666,0.007426,0.007426,0.007426
41,2570.33,0.76616,0.44109,0.97031,0.91914,0.91015,0.96324,0.70554,1.00279,0.49437,1.14433,0.00736,0.00736,0.00736
42,2632.64,0.76889,0.43978,0.97212,0.91767,0.91134,0.96264,0.6952,0.99614,0.50753,1.11929,0.007294,0.007294,0.007294
43,2695.14,0.76476,0.44049,0.96731,0.91816,0.90932,0.96765,0.70395,0.9874,0.49019,1.11829,0.007228,0.007228,0.007228
44,2757.49,0.75498,0.42661,0.96706,0.91634,0.91072,0.96539,0.70041,1.00196,0.49972,1.13627,0.007162,0.007162,0.007162
45,2819.98,0.75747,0.4339,0.96702,0.91719,0.91132,0.96718,0.7036,1.00082,0.49601,1.1275,0.007096,0.007096,0.007096
46,2882.56,0.75461,0.43365,0.96255,0.88341,0.96014,0.9667,0.7059,0.99457,0.48261,1.12434,0.00703,0.00703,0.00703
47,2945.05,0.75106,0.4279,0.96413,0.91966,0.91165,0.96651,0.70393,0.9907,0.48875,1.13682,0.006964,0.006964,0.006964
48,3007.51,0.744,0.42142,0.96143,0.91771,0.91073,0.96618,0.70604,0.98982,0.49984,1.12354,0.006898,0.006898,0.006898
49,3069.86,0.74096,0.42362,0.95883,0.91983,0.9089,0.96418,0.69878,1.00712,0.48968,1.15628,0.006832,0.006832,0.006832
50,3132.52,0.74483,0.43286,0.96226,0.8824,0.95474,0.96556,0.70004,1.00437,0.49039,1.14163,0.006766,0.006766,0.006766
